Country,Year,Production,Unit,Commodity,Source,iso3
Bangladesh,1980,1.2291125,billion cubic metres,gas,Energy Institute Statistical Review,BGD
Brunei,1980,8.423024999999999,billion cubic metres,gas,Energy Institute Statistical Review,BRN
China,1980,14.382251720747295,billion cubic metres,gas,Energy Institute Statistical Review,CHN
India,1980,1.133103125,billion cubic metres,gas,Energy Institute Statistical Review,IND
Indonesia,1980,18.787650000000003,billion cubic metres,gas,Energy Institute Statistical Review,IDN
Malaysia,1980,2.6109350000000004,billion cubic metres,gas,Energy Institute Statistical Review,MYS
Myanmar,1980,0.34387500000000004,billion cubic metres,gas,Energy Institute Statistical Review,MMR
Pakistan,1980,5.995299999999999,billion cubic metres,gas,Energy Institute Statistical Review,PAK
Thailand,1980,0.0,billion cubic metres,gas,Energy Institute Statistical Review,THA
Vietnam,1980,0.0,billion cubic metres,gas,Energy Institute Statistical Review,VNM
Canada,1981,68.82765,billion cubic metres,gas,Energy Institute Statistical Review,CAN
Mexico,1981,27.057907289428833,billion cubic metres,gas,Energy Institute Statistical Review,MEX
United States,1981,519.5927193604634,billion cubic metres,gas,Energy Institute Statistical Review,USA
Argentina,1981,8.49527375,billion cubic metres,gas,Energy Institute Statistical Review,ARG
Bolivia,1981,2.722583,billion cubic metres,gas,Energy Institute Statistical Review,BOL
Brazil,1981,0.9123889380530971,billion cubic metres,gas,Energy Institute Statistical Review,BRA
Colombia,1981,3.0519000000000003,billion cubic metres,gas,Energy Institute Statistical Review,COL
Peru,1981,0.729575,billion cubic metres,gas,Energy Institute Statistical Review,PER
Trinidad and Tobago,1981,3.12095,billion cubic metres,gas,Energy Institute Statistical Review,TTO
Venezuela,1981,16.522905,billion cubic metres,gas,Energy Institute Statistical Review,VEN
Denmark,1981,0.0,billion cubic metres,gas,Energy Institute Statistical Review,DNK
Germany,1981,18.932575,billion cubic metres,gas,Energy Institute Statistical Review,DEU
Italy,1981,13.375874999999997,billion cubic metres,gas,Energy Institute Statistical Review,ITA
Netherlands,1981,74.22222222222224,billion cubic metres,gas,Energy Institute Statistical Review,NLD
Norway,1981,24.763988585000003,billion cubic metres,gas,Energy Institute Statistical Review,NOR
Poland,1981,4.6959,billion cubic metres,gas,Energy Institute Statistical Review,POL
Romania,1981,34.07495895,billion cubic metres,gas,Energy Institute Statistical Review,ROU
Ukraine,1981,0.0,billion cubic metres,gas,Energy Institute Statistical Review,UKR
United Kingdom,1981,36.33328300000001,billion cubic metres,gas,Energy Institute Statistical Review,GBR
Azerbaijan,1981,0.0,billion cubic metres,gas,Energy Institute Statistical Review,AZE
Kazakhstan,1981,0.0,billion cubic metres,gas,Energy Institute Statistical Review,KAZ
Russian Federation,1981,0.0,billion cubic metres,gas,Energy Institute Statistical Review,RUS
Turkmenistan,1981,0.0,billion cubic metres,gas,Energy Institute Statistical Review,TKM
Uzbekistan,1981,0.0,billion cubic metres,gas,Energy Institute Statistical Review,UZB
Bahrain,1981,2.26785,billion cubic metres,gas,Energy Institute Statistical Review,BHR
Iran,1981,4.928040561386944,billion cubic metres,gas,Energy Institute Statistical Review,IRN
Iraq,1981,0.589,billion cubic metres,gas,Energy Institute Statistical Review,IRQ
Israel,1981,0.0019349920144520808,billion cubic metres,gas,Energy Institute Statistical Review,ISR
Kuwait,1981,4.449800000000001,billion cubic metres,gas,Energy Institute Statistical Review,KWT
Oman,1981,0.7615400000000001,billion cubic metres,gas,Energy Institute Statistical Review,OMN
Qatar,1981,4.474305000000001,billion cubic metres,gas,Energy Institute Statistical Review,QAT
Saudi Arabia,1981,10.7711,billion cubic metres,gas,Energy Institute Statistical Review,SAU
Syria,1981,0.0472,billion cubic metres,gas,Energy Institute Statistical Review,SYR
United Arab Emirates,1981,8.638499999999999,billion cubic metres,gas,Energy Institute Statistical Review,ARE
Algeria,1981,17.864843000000004,billion cubic metres,gas,Energy Institute Statistical Review,DZA
Egypt,1981,2.3485,billion cubic metres,gas,Energy Institute Statistical Review,EGY
Libya,1981,2.9925,billion cubic metres,gas,Energy Institute Statistical Review,LBY
Nigeria,1981,2.33035,billion cubic metres,gas,Energy Institute Statistical Review,NGA
Australia,1981,11.9944389593,billion cubic metres,gas,Energy Institute Statistical Review,AUS
Bangladesh,1981,1.3613856578437502,billion cubic metres,gas,Energy Institute Statistical Review,BGD
Brunei,1981,8.154900000000001,billion cubic metres,gas,Energy Institute Statistical Review,BRN
China,1981,12.840216322517204,billion cubic metres,gas,Energy Institute Statistical Review,CHN
India,1981,1.9781781250000001,billion cubic metres,gas,Energy Institute Statistical Review,IND
Indonesia,1981,19.05155,billion cubic metres,gas,Energy Institute Statistical Review,IDN
Malaysia,1981,2.199233,billion cubic metres,gas,Energy Institute Statistical Review,MYS
Myanmar,1981,0.41265,billion cubic metres,gas,Energy Institute Statistical Review,MMR
Pakistan,1981,6.53805,billion cubic metres,gas,Energy Institute Statistical Review,PAK
Thailand,1981,0.2725560952738544,billion cubic metres,gas,Energy Institute Statistical Review,THA
Vietnam,1981,0.00965,billion cubic metres,gas,Energy Institute Statistical Review,VNM
Canada,1982,72.24712500000001,billion cubic metres,gas,Energy Institute Statistical Review,CAN
Mexico,1982,28.852311119462065,billion cubic metres,gas,Energy Institute Statistical Review,MEX
United States,1982,483.18986351355244,billion cubic metres,gas,Energy Institute Statistical Review,USA
Argentina,1982,9.520775000000002,billion cubic metres,gas,Energy Institute Statistical Review,ARG
Bolivia,1982,2.823764,billion cubic metres,gas,Energy Institute Statistical Review,BOL
Brazil,1982,1.303702415929203,billion cubic metres,gas,Energy Institute Statistical Review,BRA
Colombia,1982,3.253600000000001,billion cubic metres,gas,Energy Institute Statistical Review,COL
Peru,1982,0.7656687499999999,billion cubic metres,gas,Energy Institute Statistical Review,PER
Trinidad and Tobago,1982,3.7931250000000007,billion cubic metres,gas,Energy Institute Statistical Review,TTO
Venezuela,1982,17.63013,billion cubic metres,gas,Energy Institute Statistical Review,VEN
Denmark,1982,0.0,billion cubic metres,gas,Energy Institute Statistical Review,DNK
Germany,1982,16.620250000000002,billion cubic metres,gas,Energy Institute Statistical Review,DEU
Italy,1982,13.734074999999999,billion cubic metres,gas,Energy Institute Statistical Review,ITA
Netherlands,1982,63.47222222222223,billion cubic metres,gas,Energy Institute Statistical Review,NLD
Norway,1982,23.780336722500003,billion cubic metres,gas,Energy Institute Statistical Review,NOR
Poland,1982,4.3278,billion cubic metres,gas,Energy Institute Statistical Review,POL
Romania,1982,34.452358200000006,billion cubic metres,gas,Energy Institute Statistical Review,ROU
Ukraine,1982,0.0,billion cubic metres,gas,Energy Institute Statistical Review,UKR
United Kingdom,1982,36.928739,billion cubic metres,gas,Energy Institute Statistical Review,GBR
Azerbaijan,1982,0.0,billion cubic metres,gas,Energy Institute Statistical Review,AZE
Kazakhstan,1982,0.0,billion cubic metres,gas,Energy Institute Statistical Review,KAZ
Russian Federation,1982,0.0,billion cubic metres,gas,Energy Institute Statistical Review,RUS
Turkmenistan,1982,0.0,billion cubic metres,gas,Energy Institute Statistical Review,TKM
Uzbekistan,1982,0.0,billion cubic metres,gas,Energy Institute Statistical Review,UZB
Bahrain,1982,3.580877,billion cubic metres,gas,Energy Institute Statistical Review,BHR
Iran,1982,6.749102481037407,billion cubic metres,gas,Energy Institute Statistical Review,IRN
Iraq,1982,0.6460000000000001,billion cubic metres,gas,Energy Institute Statistical Review,IRQ
Israel,1982,0.0430804472106484,billion cubic metres,gas,Energy Institute Statistical Review,ISR
Kuwait,1982,3.49125,billion cubic metres,gas,Energy Institute Statistical Review,KWT
Oman,1982,0.8331700000000002,billion cubic metres,gas,Energy Institute Statistical Review,OMN
Qatar,1982,5.231925,billion cubic metres,gas,Energy Institute Statistical Review,QAT
Saudi Arabia,1982,11.416149999999998,billion cubic metres,gas,Energy Institute Statistical Review,SAU
Syria,1982,0.04925,billion cubic metres,gas,Energy Institute Statistical Review,SYR
United Arab Emirates,1982,9.2625,billion cubic metres,gas,Energy Institute Statistical Review,ARE
Algeria,1982,23.310009,billion cubic metres,gas,Energy Institute Statistical Review,DZA
Egypt,1982,2.569875,billion cubic metres,gas,Energy Institute Statistical Review,EGY
Libya,1982,3.1825,billion cubic metres,gas,Energy Institute Statistical Review,LBY
Nigeria,1982,2.4277249999999997,billion cubic metres,gas,Energy Institute Statistical Review,NGA
Australia,1982,11.6980835319,billion cubic metres,gas,Energy Institute Statistical Review,AUS
Bangladesh,1982,1.7674846829062498,billion cubic metres,gas,Energy Institute Statistical Review,BGD
Brunei,1982,8.145150000000001,billion cubic metres,gas,Energy Institute Statistical Review,BRN
China,1982,12.023844641101276,billion cubic metres,gas,Energy Institute Statistical Review,CHN
India,1982,2.59345625,billion cubic metres,gas,Energy Institute Statistical Review,IND
Indonesia,1982,19.3662,billion cubic metres,gas,Energy Institute Statistical Review,IDN
Malaysia,1982,2.7667770000000003,billion cubic metres,gas,Energy Institute Statistical Review,MYS
Myanmar,1982,0.44212500000000005,billion cubic metres,gas,Energy Institute Statistical Review,MMR
Pakistan,1982,7.130899999999999,billion cubic metres,gas,Energy Institute Statistical Review,PAK
Thailand,1982,1.3891568726860963,billion cubic metres,gas,Energy Institute Statistical Review,THA
Vietnam,1982,0.018335,billion cubic metres,gas,Energy Institute Statistical Review,VNM
Canada,1983,67.95135,billion cubic metres,gas,Energy Institute Statistical Review,CAN
Mexico,1983,29.09616630092782,billion cubic metres,gas,Energy Institute Statistical Review,MEX
United States,1983,437.67380448125823,billion cubic metres,gas,Energy Institute Statistical Review,USA
Argentina,1983,12.778650000000003,billion cubic metres,gas,Energy Institute Statistical Review,ARG
Bolivia,1983,2.7109530000000004,billion cubic metres,gas,Energy Institute Statistical Review,BOL
Brazil,1983,1.7629381814159288,billion cubic metres,gas,Energy Institute Statistical Review,BRA
Colombia,1983,3.57455,billion cubic metres,gas,Energy Institute Statistical Review,COL
Peru,1983,0.50435,billion cubic metres,gas,Energy Institute Statistical Review,PER
Trinidad and Tobago,1983,3.9297250000000004,billion cubic metres,gas,Energy Institute Statistical Review,TTO
Venezuela,1983,17.360400000000006,billion cubic metres,gas,Energy Institute Statistical Review,VEN
Denmark,1983,0.0,billion cubic metres,gas,Energy Institute Statistical Review,DNK
Germany,1983,18.371299999999998,billion cubic metres,gas,Energy Institute Statistical Review,DEU
Italy,1983,12.31495,billion cubic metres,gas,Energy Institute Statistical Review,ITA
Netherlands,1983,67.58333333333334,billion cubic metres,gas,Energy Institute Statistical Review,NLD
Norway,1983,23.43547771,billion cubic metres,gas,Energy Institute Statistical Review,NOR
Poland,1983,4.2311250000000005,billion cubic metres,gas,Energy Institute Statistical Review,POL
Romania,1983,34.18864465,billion cubic metres,gas,Energy Institute Statistical Review,ROU
Ukraine,1983,0.0,billion cubic metres,gas,Energy Institute Statistical Review,UKR
United Kingdom,1983,38.077783000000004,billion cubic metres,gas,Energy Institute Statistical Review,GBR
Azerbaijan,1983,0.0,billion cubic metres,gas,Energy Institute Statistical Review,AZE
Kazakhstan,1983,0.0,billion cubic metres,gas,Energy Institute Statistical Review,KAZ
Russian Federation,1983,0.0,billion cubic metres,gas,Energy Institute Statistical Review,RUS
Turkmenistan,1983,0.0,billion cubic metres,gas,Energy Institute Statistical Review,TKM
Uzbekistan,1983,0.0,billion cubic metres,gas,Energy Institute Statistical Review,UZB
Bahrain,1983,3.7530010000000003,billion cubic metres,gas,Energy Institute Statistical Review,BHR
Iran,1983,7.713310996295112,billion cubic metres,gas,Energy Institute Statistical Review,IRN
Iraq,1983,0.4465,billion cubic metres,gas,Energy Institute Statistical Review,IRQ
Israel,1983,0.06103287312250938,billion cubic metres,gas,Energy Institute Statistical Review,ISR
Kuwait,1983,3.8332500000000005,billion cubic metres,gas,Energy Institute Statistical Review,KWT
Oman,1983,1.0348650000000001,billion cubic metres,gas,Energy Institute Statistical Review,OMN
Qatar,1983,5.418225000000001,billion cubic metres,gas,Energy Institute Statistical Review,QAT
Saudi Arabia,1983,11.1473,billion cubic metres,gas,Energy Institute Statistical Review,SAU
Syria,1983,0.07475000000000001,billion cubic metres,gas,Energy Institute Statistical Review,SYR
United Arab Emirates,1983,8.151,billion cubic metres,gas,Energy Institute Statistical Review,ARE
Algeria,1983,33.37926300000001,billion cubic metres,gas,Energy Institute Statistical Review,DZA
Egypt,1983,3.012625,billion cubic metres,gas,Energy Institute Statistical Review,EGY
Libya,1983,3.5244999999999997,billion cubic metres,gas,Energy Institute Statistical Review,LBY
Nigeria,1983,2.7521500000000003,billion cubic metres,gas,Energy Institute Statistical Review,NGA
Australia,1983,12.707482051400001,billion cubic metres,gas,Energy Institute Statistical Review,AUS
Bangladesh,1983,1.9667184999,billion cubic metres,gas,Energy Institute Statistical Review,BGD
Brunei,1983,8.495175,billion cubic metres,gas,Energy Institute Statistical Review,BRN
China,1983,12.306047197640115,billion cubic metres,gas,Energy Institute Statistical Review,CHN
India,1983,3.085775,billion cubic metres,gas,Energy Institute Statistical Review,IND
Indonesia,1983,22.09655,billion cubic metres,gas,Energy Institute Statistical Review,IDN
Malaysia,1983,6.672131,billion cubic metres,gas,Energy Institute Statistical Review,MYS
Myanmar,1983,0.5895,billion cubic metres,gas,Energy Institute Statistical Review,MMR
Pakistan,1983,7.0307,billion cubic metres,gas,Energy Institute Statistical Review,PAK
Thailand,1983,1.6353365716431263,billion cubic metres,gas,Energy Institute Statistical Review,THA
Vietnam,1983,0.0632075,billion cubic metres,gas,Energy Institute Statistical Review,VNM
Canada,1984,74.475975,billion cubic metres,gas,Energy Institute Statistical Review,CAN
Mexico,1984,28.619361489328913,billion cubic metres,gas,Energy Institute Statistical Review,MEX
United States,1984,474.9843776309709,billion cubic metres,gas,Energy Institute Statistical Review,USA
Argentina,1984,13.109300000000001,billion cubic metres,gas,Energy Institute Statistical Review,ARG
Bolivia,1984,2.6074460000000004,billion cubic metres,gas,Energy Institute Statistical Review,BOL
Brazil,1984,2.051861345132743,billion cubic metres,gas,Energy Institute Statistical Review,BRA
Colombia,1984,3.634075,billion cubic metres,gas,Energy Institute Statistical Review,COL
Peru,1984,0.68145,billion cubic metres,gas,Energy Institute Statistical Review,PER
Trinidad and Tobago,1984,4.1176,billion cubic metres,gas,Energy Institute Statistical Review,TTO
Venezuela,1984,19.203000000000003,billion cubic metres,gas,Energy Institute Statistical Review,VEN
Denmark,1984,0.24186000000000002,billion cubic metres,gas,Energy Institute Statistical Review,DNK
Germany,1984,18.052549999999997,billion cubic metres,gas,Energy Institute Statistical Review,DEU
Italy,1984,13.033925,billion cubic metres,gas,Energy Institute Statistical Review,ITA
Netherlands,1984,68.41666666666667,billion cubic metres,gas,Energy Institute Statistical Review,NLD
Norway,1984,25.767875537500004,billion cubic metres,gas,Energy Institute Statistical Review,NOR
Poland,1984,4.64745,billion cubic metres,gas,Energy Institute Statistical Review,POL
Romania,1984,33.94449995,billion cubic metres,gas,Energy Institute Statistical Review,ROU
Ukraine,1984,0.0,billion cubic metres,gas,Energy Institute Statistical Review,UKR
United Kingdom,1984,37.224141,billion cubic metres,gas,Energy Institute Statistical Review,GBR
Azerbaijan,1984,0.0,billion cubic metres,gas,Energy Institute Statistical Review,AZE
Kazakhstan,1984,0.0,billion cubic metres,gas,Energy Institute Statistical Review,KAZ
Russian Federation,1984,0.0,billion cubic metres,gas,Energy Institute Statistical Review,RUS
Turkmenistan,1984,0.0,billion cubic metres,gas,Energy Institute Statistical Review,TKM
Uzbekistan,1984,0.0,billion cubic metres,gas,Energy Institute Statistical Review,UZB
Bahrain,1984,3.866975000000001,billion cubic metres,gas,Energy Institute Statistical Review,BHR
Iran,1984,8.978871549688053,billion cubic metres,gas,Energy Institute Statistical Review,IRN
Iraq,1984,0.5605,billion cubic metres,gas,Energy Institute Statistical Review,IRQ
Israel,1984,0.05329290506470106,billion cubic metres,gas,Energy Institute Statistical Review,ISR
Kuwait,1984,4.1572000000000005,billion cubic metres,gas,Energy Institute Statistical Review,KWT
Oman,1984,1.3006500000000003,billion cubic metres,gas,Energy Institute Statistical Review,OMN
Qatar,1984,6.13755,billion cubic metres,gas,Energy Institute Statistical Review,QAT
Saudi Arabia,1984,17.29,billion cubic metres,gas,Energy Institute Statistical Review,SAU
Syria,1984,0.12625,billion cubic metres,gas,Energy Institute Statistical Review,SYR
United Arab Emirates,1984,10.725,billion cubic metres,gas,Energy Institute Statistical Review,ARE
Algeria,1984,33.975882000000006,billion cubic metres,gas,Energy Institute Statistical Review,DZA
Egypt,1984,3.8692499999999996,billion cubic metres,gas,Energy Institute Statistical Review,EGY
Libya,1984,4.369999999999999,billion cubic metres,gas,Energy Institute Statistical Review,LBY
Nigeria,1984,2.6476499999999996,billion cubic metres,gas,Energy Institute Statistical Review,NGA
Australia,1984,12.5317263767697,billion cubic metres,gas,Energy Institute Statistical Review,AUS
Bangladesh,1984,2.2700662951312505,billion cubic metres,gas,Energy Institute Statistical Review,BGD
Brunei,1984,8.596575,billion cubic metres,gas,Energy Institute Statistical Review,BRN
China,1984,12.527777777777775,billion cubic metres,gas,Energy Institute Statistical Review,CHN
India,1984,3.5340593750000004,billion cubic metres,gas,Energy Institute Statistical Review,IND
Indonesia,1984,29.790250000000004,billion cubic metres,gas,Energy Institute Statistical Review,IDN
Malaysia,1984,10.135545000000004,billion cubic metres,gas,Energy Institute Statistical Review,MYS
Myanmar,1984,0.6288000000000001,billion cubic metres,gas,Energy Institute Statistical Review,MMR
Pakistan,1984,7.2144,billion cubic metres,gas,Energy Institute Statistical Review,PAK
Thailand,1984,2.441282014657211,billion cubic metres,gas,Energy Institute Statistical Review,THA
Vietnam,1984,0.055005000000000005,billion cubic metres,gas,Energy Institute Statistical Review,VNM
Canada,1985,80.513682,billion cubic metres,gas,Energy Institute Statistical Review,CAN
Mexico,1985,27.763767532750983,billion cubic metres,gas,Energy Institute Statistical Review,MEX
United States,1985,447.88123246778986,billion cubic metres,gas,Energy Institute Statistical Review,USA
Argentina,1985,13.508025000000004,billion cubic metres,gas,Energy Institute Statistical Review,ARG
Bolivia,1985,2.5841860000000003,billion cubic metres,gas,Energy Institute Statistical Review,BOL
Brazil,1985,2.5739505707964594,billion cubic metres,gas,Energy Institute Statistical Review,BRA
Colombia,1985,3.706750000000001,billion cubic metres,gas,Energy Institute Statistical Review,COL
Peru,1985,0.5313000000000001,billion cubic metres,gas,Energy Institute Statistical Review,PER
Trinidad and Tobago,1985,4.2152,billion cubic metres,gas,Energy Institute Statistical Review,TTO
Venezuela,1985,19.231305000000003,billion cubic metres,gas,Energy Institute Statistical Review,VEN
Denmark,1985,1.169685,billion cubic metres,gas,Energy Institute Statistical Review,DNK
Germany,1985,17.1077,billion cubic metres,gas,Energy Institute Statistical Review,DEU
Italy,1985,13.419225,billion cubic metres,gas,Energy Institute Statistical Review,ITA
Netherlands,1985,71.63888888888889,billion cubic metres,gas,Energy Institute Statistical Review,NLD
Norway,1985,25.989261595,billion cubic metres,gas,Energy Institute Statistical Review,NOR
Poland,1985,4.8062,billion cubic metres,gas,Energy Institute Statistical Review,POL
Romania,1985,32.4451533,billion cubic metres,gas,Energy Institute Statistical Review,ROU
Ukraine,1985,40.58210422812192,billion cubic metres,gas,Energy Institute Statistical Review,UKR
United Kingdom,1985,41.53189300000001,billion cubic metres,gas,Energy Institute Statistical Review,GBR
Azerbaijan,1985,13.739355,billion cubic metres,gas,Energy Institute Statistical Review,AZE
Kazakhstan,1985,3.867877575736243,billion cubic metres,gas,Energy Institute Statistical Review,KAZ
Russian Federation,1985,424.8812241887905,billion cubic metres,gas,Energy Institute Statistical Review,RUS
Turkmenistan,1985,78.73193215339232,billion cubic metres,gas,Energy Institute Statistical Review,TKM
Uzbekistan,1985,32.73635693215339,billion cubic metres,gas,Energy Institute Statistical Review,UZB
Bahrain,1985,4.720617000000001,billion cubic metres,gas,Energy Institute Statistical Review,BHR
Iran,1985,9.686438076609015,billion cubic metres,gas,Energy Institute Statistical Review,IRN
Iraq,1985,0.8074999999999999,billion cubic metres,gas,Energy Institute Statistical Review,IRQ
Israel,1985,0.05014854304121642,billion cubic metres,gas,Energy Institute Statistical Review,ISR
Kuwait,1985,3.9899999999999998,billion cubic metres,gas,Energy Institute Statistical Review,KWT
Oman,1985,1.6559725000000003,billion cubic metres,gas,Energy Institute Statistical Review,OMN
Qatar,1985,5.651100000000001,billion cubic metres,gas,Energy Institute Statistical Review,QAT
Saudi Arabia,1985,17.86,billion cubic metres,gas,Energy Institute Statistical Review,SAU
Syria,1985,0.15,billion cubic metres,gas,Energy Institute Statistical Review,SYR
United Arab Emirates,1985,12.89925,billion cubic metres,gas,Energy Institute Statistical Review,ARE
Algeria,1985,37.33811500000001,billion cubic metres,gas,Energy Institute Statistical Review,DZA
Egypt,1985,4.745125,billion cubic metres,gas,Energy Institute Statistical Review,EGY
Libya,1985,4.9399999999999995,billion cubic metres,gas,Energy Institute Statistical Review,LBY
Nigeria,1985,2.508,billion cubic metres,gas,Energy Institute Statistical Review,NGA
Australia,1985,13.395262335036099,billion cubic metres,gas,Energy Institute Statistical Review,AUS
Bangladesh,1985,2.5780474349437505,billion cubic metres,gas,Energy Institute Statistical Review,BGD
Brunei,1985,8.3806125,billion cubic metres,gas,Energy Institute Statistical Review,BRN
China,1985,13.031710914454276,billion cubic metres,gas,Energy Institute Statistical Review,CHN
India,1985,4.322828125,billion cubic metres,gas,Energy Institute Statistical Review,IND
Indonesia,1985,32.784499999999994,billion cubic metres,gas,Energy Institute Statistical Review,IDN
Malaysia,1985,11.198527000000002,billion cubic metres,gas,Energy Institute Statistical Review,MYS
Myanmar,1985,0.9039000000000001,billion cubic metres,gas,Energy Institute Statistical Review,MMR
Pakistan,1985,7.364700000000001,billion cubic metres,gas,Energy Institute Statistical Review,PAK
Thailand,1985,3.209128218546995,billion cubic metres,gas,Energy Institute Statistical Review,THA
Vietnam,1985,0.03425750000000001,billion cubic metres,gas,Energy Institute Statistical Review,VNM
Canada,1986,75.51515250000001,billion cubic metres,gas,Energy Institute Statistical Review,CAN
Mexico,1986,24.66160911389577,billion cubic metres,gas,Energy Institute Statistical Review,MEX
United States,1986,436.2867225518186,billion cubic metres,gas,Energy Institute Statistical Review,USA
Argentina,1986,15.083475000000002,billion cubic metres,gas,Energy Institute Statistical Review,ARG
Bolivia,1986,2.6318690000000005,billion cubic metres,gas,Energy Institute Statistical Review,BOL
Brazil,1986,2.9977045442477865,billion cubic metres,gas,Energy Institute Statistical Review,BRA
Colombia,1986,3.61265,billion cubic metres,gas,Energy Institute Statistical Review,COL
Peru,1986,0.56354375,billion cubic metres,gas,Energy Institute Statistical Review,PER
Trinidad and Tobago,1986,4.3134500000000005,billion cubic metres,gas,Energy Institute Statistical Review,TTO
Venezuela,1986,21.172140000000006,billion cubic metres,gas,Energy Institute Statistical Review,VEN
Denmark,1986,1.9838775000000002,billion cubic metres,gas,Energy Institute Statistical Review,DNK
Germany,1986,14.01515,billion cubic metres,gas,Energy Institute Statistical Review,DEU
Italy,1986,15.037625,billion cubic metres,gas,Energy Institute Statistical Review,ITA
Netherlands,1986,65.5,billion cubic metres,gas,Energy Institute Statistical Review,NLD
Norway,1986,25.894030227500004,billion cubic metres,gas,Energy Institute Statistical Review,NOR
Poland,1986,4.363425,billion cubic metres,gas,Energy Institute Statistical Review,POL
Romania,1986,32.834200675000005,billion cubic metres,gas,Energy Institute Statistical Review,ROU
Ukraine,1986,37.572517207472956,billion cubic metres,gas,Energy Institute Statistical Review,UKR
United Kingdom,1986,43.66483500000001,billion cubic metres,gas,Energy Institute Statistical Review,GBR
Azerbaijan,1986,13.2804,billion cubic metres,gas,Energy Institute Statistical Review,AZE
Kazakhstan,1986,4.128760813982382,billion cubic metres,gas,Energy Institute Statistical Review,KAZ
Russian Federation,1986,462.5671091445426,billion cubic metres,gas,Energy Institute Statistical Review,RUS
Turkmenistan,1986,80.1610127826942,billion cubic metres,gas,Energy Institute Statistical Review,TKM
Uzbekistan,1986,36.53146509341199,billion cubic metres,gas,Energy Institute Statistical Review,UZB
Bahrain,1986,5.404461,billion cubic metres,gas,Energy Institute Statistical Review,BHR
Iran,1986,9.30547470859912,billion cubic metres,gas,Energy Institute Statistical Review,IRN
Iraq,1986,1.4725,billion cubic metres,gas,Energy Institute Statistical Review,IRQ
Israel,1986,0.037597969836367505,billion cubic metres,gas,Energy Institute Statistical Review,ISR
Kuwait,1986,5.4435,billion cubic metres,gas,Energy Institute Statistical Review,KWT
Oman,1986,1.935895,billion cubic metres,gas,Energy Institute Statistical Review,OMN
Qatar,1986,6.003000000000001,billion cubic metres,gas,Energy Institute Statistical Review,QAT
Saudi Arabia,1986,23.94,billion cubic metres,gas,Energy Institute Statistical Review,SAU
Syria,1986,0.37927500000000003,billion cubic metres,gas,Energy Institute Statistical Review,SYR
United Arab Emirates,1986,14.839500000000001,billion cubic metres,gas,Energy Institute Statistical Review,ARE
Algeria,1986,38.189431,billion cubic metres,gas,Energy Institute Statistical Review,DZA
Egypt,1986,5.467,billion cubic metres,gas,Energy Institute Statistical Review,EGY
Libya,1986,5.319999999999999,billion cubic metres,gas,Energy Institute Statistical Review,LBY
Nigeria,1986,2.92505,billion cubic metres,gas,Energy Institute Statistical Review,NGA
Australia,1986,14.632928125250302,billion cubic metres,gas,Energy Institute Statistical Review,AUS
Bangladesh,1986,2.9070149002125,billion cubic metres,gas,Energy Institute Statistical Review,BGD
Brunei,1986,8.402550000000002,billion cubic metres,gas,Energy Institute Statistical Review,BRN
China,1986,13.868239921337263,billion cubic metres,gas,Energy Institute Statistical Review,CHN
India,1986,6.040024375,billion cubic metres,gas,Energy Institute Statistical Review,IND
Indonesia,1986,34.11415,billion cubic metres,gas,Energy Institute Statistical Review,IDN
Malaysia,1986,15.060850000000006,billion cubic metres,gas,Energy Institute Statistical Review,MYS
Myanmar,1986,1.0512750000000002,billion cubic metres,gas,Energy Institute Statistical Review,MMR
Pakistan,1986,7.8991,billion cubic metres,gas,Energy Institute Statistical Review,PAK
Thailand,1986,3.7439829216381604,billion cubic metres,gas,Energy Institute Statistical Review,THA
Vietnam,1986,0.035705,billion cubic metres,gas,Energy Institute Statistical Review,VNM
Canada,1987,81.8565165,billion cubic metres,gas,Energy Institute Statistical Review,CAN
Mexico,1987,25.067101352772404,billion cubic metres,gas,Energy Institute Statistical Review,MEX
United States,1987,451.98115313467497,billion cubic metres,gas,Energy Institute Statistical Review,USA
Argentina,1987,14.733375000000004,billion cubic metres,gas,Energy Institute Statistical Review,ARG
Bolivia,1987,2.752821,billion cubic metres,gas,Energy Institute Statistical Review,BOL
Brazil,1987,3.3484674026548666,billion cubic metres,gas,Energy Institute Statistical Review,BRA
Colombia,1987,3.806925000000001,billion cubic metres,gas,Energy Institute Statistical Review,COL
Peru,1987,0.560175,billion cubic metres,gas,Energy Institute Statistical Review,PER
Trinidad and Tobago,1987,4.56935,billion cubic metres,gas,Energy Institute Statistical Review,TTO
Venezuela,1987,20.631570000000004,billion cubic metres,gas,Energy Institute Statistical Review,VEN
Denmark,1987,2.52858375,billion cubic metres,gas,Energy Institute Statistical Review,DNK
Germany,1987,15.73055,billion cubic metres,gas,Energy Institute Statistical Review,DEU
Italy,1987,15.411824999999997,billion cubic metres,gas,Energy Institute Statistical Review,ITA
Netherlands,1987,65.61111111111111,billion cubic metres,gas,Energy Institute Statistical Review,NLD
Norway,1987,27.939754355,billion cubic metres,gas,Energy Institute Statistical Review,NOR
Poland,1987,4.3837,billion cubic metres,gas,Energy Institute Statistical Review,POL
Romania,1987,31.2057928,billion cubic metres,gas,Energy Institute Statistical Review,ROU
Ukraine,1987,33.69223205506391,billion cubic metres,gas,Energy Institute Statistical Review,UKR
United Kingdom,1987,45.714041,billion cubic metres,gas,Energy Institute Statistical Review,GBR
